index,train,validation,test
34,TCGA-DD-A1E9,TCGA-DD-AADG,TCGA-DD-A4ND
35,TCGA-DD-A1EE,TCGA-DD-AADN,TCGA-DD-AACP
36,TCGA-DD-A1EF,TCGA-DD-AADW,TCGA-BC-A69I
37,TCGA-DD-A1EL,TCGA-DD-AAE4,TCGA-CC-5259
38,TCGA-DD-A39V,TCGA-DD-AAEG,TCGA-DD-AACV
39,TCGA-DD-A39W,TCGA-DD-AAVS,TCGA-FV-A496
40,TCGA-DD-A39X,TCGA-DD-AAVY,TCGA-EP-A3RK
41,TCGA-DD-A39Z,TCGA-DD-AAW3,TCGA-NI-A8LF
42,TCGA-DD-A3A0,TCGA-EP-A26S,TCGA-DD-A4NO
43,TCGA-DD-A3A2,TCGA-G3-A25U,TCGA-DD-A73G
44,TCGA-DD-A3A3,TCGA-G3-A3CH,TCGA-DD-AACO
45,TCGA-DD-A3A5,TCGA-G3-A5SK,TCGA-DD-AAED
46,TCGA-DD-A3A6,TCGA-G3-A7M7,TCGA-CC-A3MC
47,TCGA-DD-A3A7,TCGA-G3-AAV7,TCGA-DD-A4NB
48,TCGA-DD-A3A9,TCGA-LG-A6GG,TCGA-DD-A1ED
49,TCGA-DD-A4NG,TCGA-MI-A75G,TCGA-DD-AADS
50,TCGA-DD-A4NR,TCGA-RC-A6M6,TCGA-DD-AAE7
51,TCGA-DD-A4NS,TCGA-UB-A7MA,TCGA-DD-AAE2
52,TCGA-DD-A73B,TCGA-UB-AA0V,TCGA-EP-A12J
53,TCGA-DD-AAC8,TCGA-XR-A8TE,TCGA-DD-AADA
54,TCGA-DD-AACD,TCGA-ZS-A9CF,TCGA-DD-A4NF
55,TCGA-DD-AACF,,TCGA-DD-AAVP
56,TCGA-DD-AACL,,TCGA-ZP-A9CZ
57,TCGA-DD-AADF,,TCGA-WQ-A9G7
58,TCGA-DD-AADM,,TCGA-G3-A5SM
59,TCGA-ED-A66Y,,TCGA-MR-A8JO
60,TCGA-FV-A23B,,TCGA-G3-AAV2
61,TCGA-FV-A3I1,,TCGA-QA-A7B7
62,TCGA-FV-A3R2,,TCGA-ZP-A9D1
63,TCGA-FV-A3R3,,TCGA-DD-AAE6
64,TCGA-FV-A4ZP,,TCGA-BC-A216
65,TCGA-G3-A25Y,,TCGA-RG-A7D4
66,TCGA-G3-A5SI,,TCGA-DD-AADO
67,TCGA-G3-AAV4,,TCGA-ZP-A9D0
68,TCGA-G3-AAV6,,TCGA-5R-AA1D
69,TCGA-HP-A5MZ,,
70,TCGA-HP-A5N0,,
71,TCGA-UB-A7MF,,
72,TCGA-WX-AA47,,
73,TCGA-YA-A8S7,,
74,TCGA-ZP-A9CV,,
75,TCGA-ZS-A9CD,,
76,TCGA-DD-AACH,,
77,TCGA-PD-A5DF,,
78,TCGA-DD-A4NN,,
79,TCGA-CC-A5UD,,
80,TCGA-BC-A10T,,
81,TCGA-2Y-A9GU,,
82,TCGA-2Y-A9H0,,
83,TCGA-2Y-A9H2,,
84,TCGA-2Y-A9H3,,
85,TCGA-2Y-A9H4,,
86,TCGA-2Y-A9H7,,
87,TCGA-2Y-A9H9,,
88,TCGA-2Y-A9HB,,
89,TCGA-5C-A9VG,,
90,TCGA-5R-AA1C,,
91,TCGA-BC-4073,,
92,TCGA-BC-A3KF,,
93,TCGA-BC-A3KG,,
94,TCGA-BC-A8YO,,
95,TCGA-BW-A5NO,,
96,TCGA-CC-A123,,
97,TCGA-CC-A7IH,,
98,TCGA-CC-A7IJ,,
99,TCGA-CC-A9FS,,
100,TCGA-CC-A9FW,,
101,TCGA-DD-A113,,
102,TCGA-DD-A11A,,
103,TCGA-DD-A11C,,
104,TCGA-DD-A1EA,,
105,TCGA-DD-A1EB,,
106,TCGA-DD-A1EH,,
107,TCGA-DD-A1EI,,
108,TCGA-DD-A4NA,,
109,TCGA-DD-A4NH,,
110,TCGA-DD-A4NJ,,
111,TCGA-DD-A4NL,,
112,TCGA-DD-A4NP,,
113,TCGA-DD-A4NV,,
114,TCGA-DD-A73C,,
115,TCGA-DD-A73D,,
116,TCGA-DD-A73E,,
117,TCGA-DD-A73F,,
118,TCGA-DD-AACA,,
119,TCGA-DD-AACB,,
120,TCGA-DD-AACE,,
121,TCGA-DD-AACI,,
122,TCGA-DD-AACK,,
123,TCGA-DD-AACM,,
124,TCGA-DD-AACN,,
125,TCGA-DD-AACS,,
126,TCGA-DD-AACU,,
127,TCGA-DD-AACW,,
128,TCGA-DD-AACX,,
129,TCGA-DD-AACY,,
130,TCGA-DD-AAD1,,
131,TCGA-DD-AAD2,,
132,TCGA-DD-AAD3,,
133,TCGA-DD-AAD5,,
134,TCGA-DD-AAD8,,
135,TCGA-DD-AADB,,
136,TCGA-DD-AADD,,
137,TCGA-DD-AADE,,
138,TCGA-DD-AADI,,
139,TCGA-DD-AADJ,,
140,TCGA-DD-AADK,,
141,TCGA-DD-AADL,,
142,TCGA-DD-AADP,,
143,TCGA-DD-AADQ,,
144,TCGA-DD-AADU,,
145,TCGA-DD-AADV,,
146,TCGA-DD-AADY,,
147,TCGA-DD-AAE0,,
148,TCGA-DD-AAE1,,
149,TCGA-DD-AAE3,,
150,TCGA-DD-AAE8,,
151,TCGA-DD-AAE9,,
152,TCGA-DD-AAEA,,
153,TCGA-DD-AAEE,,
154,TCGA-DD-AAEH,,
155,TCGA-DD-AAEI,,
156,TCGA-DD-AAVQ,,
157,TCGA-DD-AAVR,,
158,TCGA-DD-AAVU,,
159,TCGA-DD-AAVV,,
160,TCGA-DD-AAVW,,
161,TCGA-DD-AAVX,,
162,TCGA-DD-AAVZ,,
163,TCGA-DD-AAW0,,
164,TCGA-DD-AAW1,,
165,TCGA-DD-AAW2,,
166,TCGA-ED-A4XI,,
167,TCGA-ED-A5KG,,
168,TCGA-ED-A627,,
169,TCGA-ED-A66X,,
170,TCGA-EP-A3JL,,
171,TCGA-FV-A2QQ,,
172,TCGA-FV-A3I0,,
173,TCGA-FV-A4ZQ,,
174,TCGA-G3-A25V,,
175,TCGA-G3-A25W,,
176,TCGA-G3-A25X,,
177,TCGA-G3-A25Z,,
178,TCGA-G3-A3CI,,
179,TCGA-G3-A3CJ,,
180,TCGA-G3-A3CK,,
181,TCGA-G3-A5SJ,,
182,TCGA-G3-A5SL,,
183,TCGA-G3-A6UC,,
184,TCGA-G3-A7M5,,
185,TCGA-G3-A7M6,,
186,TCGA-G3-A7M8,,
187,TCGA-G3-AAUZ,,
188,TCGA-G3-AAV3,,
189,TCGA-G3-AAV5,,
190,TCGA-GJ-A3OU,,
191,TCGA-K7-A5RG,,
192,TCGA-K7-A6G5,,
193,TCGA-K7-AAU7,,
194,TCGA-LG-A9QC,,
195,TCGA-LG-A9QD,,
196,TCGA-MI-A75C,,
197,TCGA-MI-A75E,,
198,TCGA-MI-A75H,,
199,TCGA-MI-A75I,,
200,TCGA-MR-A520,,
201,TCGA-O8-A75V,,
202,TCGA-RC-A7S9,,
203,TCGA-RC-A7SB,,
204,TCGA-RC-A7SH,,
205,TCGA-RC-A7SK,,
206,TCGA-UB-A7MB,,
207,TCGA-UB-A7MC,,
208,TCGA-UB-A7ME,,
209,TCGA-UB-AA0U,,
210,TCGA-WJ-A86L,,
211,TCGA-WQ-AB4B,,
212,TCGA-WX-AA46,,
213,TCGA-XR-A8TD,,
214,TCGA-XR-A8TG,,
215,TCGA-ZP-A9CY,,
216,TCGA-ZP-A9D4,,
217,TCGA-ZS-A9CE,,
218,TCGA-ZS-A9CG,,
